,noc,name,lnk,dis,Date of Birth,Age,Gender,Sport Class,Languages spoken,Birth Country,Debut,Ambition,Hero,Influence,Philosophy,Award,Injuries
431,IND,BHYAN Ekta,../../../en/results/athletics/athlete-profile-n1345292-bhyan-ekta.htm,ATH, 7 Jun 1985,36.0, Female, F51,"English, Hindi",,,"To win a gold medal at the 2020 Paralympic Games in Tokyo. (newzhook.com, 16 Nov 2019)",,"Her parents. (espn.in, 05 Apr 2019)","""Don't surrender to your situation. Life comes with its challenges but we are above them all."" (espn.in, 05 Apr 2019)","In 2020 she was named Para Sportswoman of the Year at the Sportstar Aces Awards in India. (sportstar.thehindu.com, 13 Jan 2020)",
432,IRI,BIABANI Ramezan,../../../en/results/archery/athlete-profile-n1515079-biabani-ramezan.htm,ARC, 25 Jun 1979,42.0, Male, W2,"Farsi, Persian","
 Islamic Republic of Iran",,"To compete in able-bodied archery at the Olympic Games. (Athlete, 21 Aug 2021)",,,"""Make your dreams come true."" (Athlete, 21 Aug 2021)",,
433,HUN,BIACSI Bernadett,../../../en/results/athletics/athlete-profile-n1728640-biacsi-bernadett.htm,ATH, 29 Dec 1985,35.0, Female, T20,"English, Hungarian","
 Hungary",,"To compete at the 2020 Paralympic Games in Tokyo. (delmagyar.hu, 24 Jan 2017)",,"Her twin sister Ilona. (Athlete, 09 Nov 2019)",,"She and her sister Ilona were co-recipients of the 2016 Para Athlete of the Year Award in Szeged, Hungary. (delmagyar.hu, 24 Jan 2017)","She suffered from an injury in early 2015. (szeged.hu, 26 Jun 2015)"
434,HUN,BIACSI Ilona,../../../en/results/athletics/athlete-profile-n1728639-biacsi-ilona.htm,ATH, 29 Dec 1985,35.0, Female, T20,"English, Hungarian","
 Hungary",,"To compete at the 2020 Paralympic Games in Tokyo. (delmagyar.hu, 24 Jan 2017)",,"Her twin sister Bernadett. (Athlete, 09 Nov 2019)",,"She and her sister Bernadett were co-recipients of the 2016 Para Athlete of the Year Award in Szeged, Hungary. (delmagyar.hu, 24 Jan 2017)",
435,CHN,BIAN Jing,../../../en/results/wheelchair-fencing/athlete-profile-n1643747-bian-jing.htm,WFE, 10 Mar 1988,33.0, Female, A,Mandarin,"
 People's Republic of China","2011 for China, World Cup in Canada (Athlete, 31 Jul 2016)",,,,,,
436,ITA,BIANCO Vittoria,../../../en/results/swimming/athlete-profile-n1684811-bianco-vittoria.htm,SWM, 7 Oct 1995,25.0, Female, S9,Italian,"
 Italy",,"To compete at the 2020 Paralympic Games in Tokyo. (Instagram profile, 11 Jul 2021)","US swimmer Michael Phelps. (art4sport.org, 01 Oct 2019)","Her coach Romolo Mancinelli. (putignanonelmondo.it, 26 May 2021)",,"In 2019 she received an acknowledgement from the municipality of Putignano, Italy, for her sporting achievements. (comune.putignano.ba.it, 20 Dec 2019)",
437,ITA,BIASI Silvia,../../../en/results/sitting-volleyball/athlete-profile-n1543239-biasi-silvia.htm,VBS, 11 Apr 1988,33.0, Female, VS1,Italian,,,"To win a medal at the 2020 Paralympic Games in Tokyo. (ruetir.com, 13 Apr 2021)",,,,,
438,ITA,BICELLI Federico,../../../en/results/swimming/athlete-profile-n1684300-bicelli-federico.htm,SWM, 5 Feb 1999,22.0, Male, S7,"English, French, Italian","
 Italy","2018 for Italy (Athlete, 09 Sep 2019)","To compete at the 2020 Paralympic Games in Tokyo. (Instagram profile, 02 Mar 2021)","US swimmer Michael Phelps. (Athlete, 09 Sep 2019)","His family. (Athlete, 09 Sep 2019)","""Failure will never overtake me if my determination to succeed is strong enough."" [Og Mandino] (Instagram profile, 03 Jan 2020)","In 2018 he received the Leonessa Award from the city of Brescia, Italy, for his sporting achievements. (polisportivanofrontiere.com, 20 Feb 2018)","In 2012 he was treated for scoliosis. (ugoventurini.com, 26 Mar 2019)"
439,POL,BIEGANOWSKA-ZAJAC Barbara,../../../en/results/athletics/athlete-profile-n1376972-bieganowska-zajac-barbara.htm,ATH, 1 Sep 1981,40.0, Female, T20,Polish,"
 Poland",,"To win a gold medal at the 2020 Paralympic Games in Tokyo. (Korfantow TV YouTube channel, 14 Mar 2018)",,"Coach Mariusz Zabinski. (Korfantow TV YouTube channel, 14 Mar 2018)","""Never give up."" (sport.pl, 16 Sep 2016)","In 2016 she was honoured with the Knight's Cross of the Order of Polonia Restituta in Poland. (prezydent.pl, 05 Oct 2016)",
440,GER,BIENEK Andre,../../../en/results/wheelchair-basketball/athlete-profile-n1336271-bienek-andre.htm,WBK, 31 Oct 1986,34.0, Male, 3.0,"English, German","
 Germany","2007 for Germany Against Israel, European Championships in Wetzlar, Germany (Athlete, 21 Aug 2021)",,"US wheelchair basketball player Jeremy Lade. (Athlete, 09 May 2016)",,"""Courage is being scared to death and saddling up anyway."" (Athlete, 09 May 2016)","He was named in the All-American team for the 2011/12 US college season. (ruhrnachrichten.de, 04 Jun 2012)",
441,IRI,BIGDELI Sadegh,../../../en/results/sitting-volleyball/athlete-profile-n1561736-bigdeli-sadegh.htm,VBS, 26 Feb 1984,37.0, Male, VS1,"English, Farsi","
 Islamic Republic of Iran","2004 for Iran Against Bosnia and Herzegovina, Paralympic Games in Greece (Athlete, 22 Apr 2012)","Winning a gold medal at the Paralympic Games. (Athlete, 22 Aug 2021)","Iranian wrestler Gholamreza Takhti, his father. (Athlete, 22 Apr 2012, 22 Aug 2021)","His parents. (Athlete, 22 Aug 2021)","""I have always set goals for myself that were one step higher. For example, if I wanted to become the best player in Iran, my goal would be to be the best player in the world. Even if that turned out to be a difficult objective, I would still become the best in Iran while trying to achieve it."" (Good Morning Iran, 07 Jul 2020)","In 2020 he was recognised by World ParaVolley for his contribution to sitting volleyball. (worldparavolley.org, 24 Apr 2020)",
442,ITA,BIGLIA Veronica,../../../en/results/canoe-sprint/athlete-profile-n1534526-biglia-veronica.htm,CSP, 2 Aug 1988,33.0, Female, VL2,,,,,,,,,
443,KEN,BII Wilson,../../../en/results/athletics/athlete-profile-n1344486-bii-wilson.htm,ATH, 9 Feb 1986,35.0, Male, T11,"English, Swahili","
 Kenya",,,"Kenyan long-distance runner Eliud Kipchoge, Kenyan steeplechase runner Ezekiel Kemboi. (Athlete, 07 Nov 2019)",,,"In 2008 he won the Best Overall Male award at the Kenyan Annual National Games and Sports for Special Schools. (flickr.com, 2012)","He sustained a tendon injury while competing at the 2012 Paralympic Games in London. (Athlete, 08 Sep 2016)"
444,UKR,BILYI Vladyslav,../../../en/results/athletics/athlete-profile-n1381592-bilyi-vladyslav.htm,ATH, 26 Nov 1997,23.0, Male, F38,"Russian, Ukrainian",,,,,,,"He has received the title of Master of Sport of International Class in Ukraine. (paralympic.org.ua, 12 Aug 2021)",
445,CAN,BIRD Morgan,../../../en/results/swimming/athlete-profile-n1543688-bird-morgan.htm,SWM, 6 Sep 1993,27.0, Female, S8,English,"
 Canada",,"To compete at the 2020 Paralympic Games in Tokyo. (swimming.ca, 29 Mar 2018)",,,"""Don't let anything stop you. If you have a dream go after it. Your abilities are much higher than your limitations. If you believe in yourself you can get there."" (Tomorrow YouTube channel, 31 Jul 2014)","She was named Female Para Swimmer of the Year by Swim Alberta in Canada in 2012/13, 2013/14 and 2014/15. (swimalberta.ca, Sep 2015)",
446,RPC,BIRIUKOV Sergei,../../../en/results/athletics/athlete-profile-n1383907-biriukov-sergei.htm,ATH, 6 Jan 1998,23.0, Male, T37,Russian,"
 Russian Federation",,"To win gold at the Paralympic Games. (Athlete, 02 Dec 2019)","Actor, bodybuilder and politician Arnold Schwarzenegger. (Athlete, 02 Dec 2019)","His parents and coach Svetlana Morozova. (Athlete, 02 Dec 2019)",,"He has received the title of Master of Sport in the Russian Federation. (chuvsu.ru, 30 Jul 2021; minsport.gov.ru, 19 Mar 2021)",
447,AUS,BIRTWHISTLE Thomas,../../../en/results/rowing/athlete-profile-n1409613-birtwhistle-thomas.htm,ROW, 30 Oct 1992,28.0, Male, PR3-PI,English,,,,,,,,
448,ISL,BJORNSDOTTIR Thelma Bjorg,../../../en/results/swimming/athlete-profile-n1429265-bjornsdottir-thelma-bjorg.htm,SWM, 25 Mar 1996,25.0, Female," SB5,S6","English, Icelandic","
 Iceland","2013 for Iceland, World Championships in Montreal, Canada (Athlete, 14 Aug 2018)",,"Icelandic Para swimmer Kristin Ros Hakonardottir. (Athlete, 14 Aug 2018)","Her parents. (Athlete, 14 Aug 2018)","""Always try to be better."" (Athlete, 02 Dec 2017)","In 2013, 2014, 2015 and 2017 she was named Female Athlete of the Year by the Icelandic Sports Association for the Disabled. (ifsport.is, 30 Dec 2017, 04 Dec 2015, 03 Dec 2014)",
449,SWE,BJURSTROM Maria,../../../en/results/boccia/athlete-profile-n1457142-bjurstrom-maria.htm,BOC, 31 Jul 1993,28.0, Female, BC3,Swedish,"
 Sweden","2011 for Sweden (parasport.se, 16 Sep 2015)","To win a medal at the Paralympic Games. (ostgota.lokaltidningen.se, 18 Sep 2015)",,"Her family. (ostgota.lokaltidningen.se, 11 Nov 2014)","""Practise, practise, practise and be patient."" (paralympics.se, 2014)","She was named the 2014 Para Athlete of the Year in Linkoping, Sweden. (omsorgsgruppen.se, 01 Dec 2014)",
450,USA,BLAIR David,../../../en/results/athletics/athlete-profile-n1662411-blair-david.htm,ATH, 25 Sep 1975,45.0, Male, F44,English,"
 United States of America",,"To win gold at the 2020 Paralympic Games in Tokyo. (teamusa.org, 06 Nov 2020)",,,,"He won the Male Adaptive Athlete of the Year award at the 2016 Governor's State of Sport Awards, presented by the Utah Sports Commission. (teamusa.org, 19 Sep 2016)","He sustained a stress fracture to the fifth metatarsal of his left foot in March 2019. He was able to throw again 12 weeks later. (Instagram profile, 19 Feb 2020)"
451,AUS,BLAIR Jannik,../../../en/results/wheelchair-basketball/athlete-profile-n1425550-blair-jannik.htm,WBK, 3 Feb 1992,29.0, Male, 1.0,English,"
 Australia","2009 for Australia, Qualification Tournament in Melbourne, Australia (Athlete, 10 May 2016)","To win a gold medal at the 2020 Paralympic Games in Tokyo. (tokyo2020.org, 11 Feb 2021)","Australian wheelchair basketball player Shaun Groenewegen. (Athlete, 10 May 2016)",,,"He was named to the All Star team at the 2019 Euroleague 1 Finals. (iwbf.org, 01 May 2019)","He burst a bursa in his elbow in a match against the Islamic Republic of Iran in the quarterfinals of the 2013 U23 World Championships in Adana, Turkey. (Athlete, 10 May 2016)"
452,VEN,BLANCO Marcos Dennis,../../../en/results/judo/athlete-profile-n1396146-blanco-marcos-dennis.htm,JUD, 24 Mar 1992,29.0, Male, B1,Spanish,"
 Venezuela","2014 for Venezuela, World Championships in Colorado Springs, CO, United States (IJF, 21 Jan 2016)",,,,"""Keep going if you have any difficulty, with effort and discipline you can move on. Within ourselves is where the solution lies, let's be more positive."" (copaven.org.ve, 19 Aug 2021)",,
453,ARG,BLANCO Veronica Soledad,../../../en/results/table-tennis/athlete-profile-n1889291-blanco-veronica-soledad.htm,TTE, 18 Mar 1981,40.0, Female, 3,Spanish,"
 Argentina",,,,"Her children. (Athlete, 20 Aug 2021)","""Sport is the path to independence."" (Athlete, 20 Aug 2021)",,
454,GBR,BLANGO Columba,../../../en/results/athletics/athlete-profile-n1727834-blango-columba.htm,ATH, 6 Jul 1992,29.0, Male, T20,English,,,,,,"""My philosophy is not knowing the meaning of giving up, which is a motivator to me to keep going despite the challenge ahead. Either you complete the task assigned to you, or stop what you're doing."" (thepowerof10.info, 22 Aug 2020)",,
455,SVK,BLATTNEROVA Tatiana,../../../en/results/swimming/athlete-profile-n1720069-blattnerova-tatiana.htm,SWM, 16 Mar 2002,19.0, Female," S11,SB11","Czech, English, Slovak","
 Slovakia","2014 for Slovakia, European Championships in Eindhoven, Netherlands (Athlete, 15 Aug 2018)","To compete at the 2024 and 2028 Paralympic Games. (Athlete, 27 Aug 2021)","Slovakian Para swimmer Karina Petrikovicova. (Athlete, 27 Aug 2021)","Her mother. (Athlete, 27 Aug 2021)","""When others see problems, I don't see any."" (Athlete, 27 Aug 2021)",,"In 2016 she sustained a broken finger. (spv.sk, 24 Jul 2017)"
456,CAN,BLESSIN Doug,../../../en/results/shooting/athlete-profile-n1534540-blessin-doug.htm,SHO, 26 Jun 1973,48.0, Male, SH2,English,"
 Canada","2010 for Canada, in France (Athlete, 04 Jan 2011)","To win a medal at the 2020 Paralympic Games in Tokyo. (tricitynews.com, 23 Aug 2021)","Canadian Para shooter Chris Trifonidis. (Athlete, 04 Jan 2011)",,"""Never worry about the things you have no control over and always take extra care over the things you do."" (Athlete, 04 Jan 2011)","He was named 2019 Male Athlete of the Year by the Shooting Federation of Canada. (sfc-ftc.ca, 01 Jan 2020)","He had a broken leg in 2017. (Instagram profile, 19 Jun 2017)"
457,AUS,BLOW Jennifer,../../../en/results/goalball/athlete-profile-n1409590-blow-jennifer.htm,GBL, 10 Jan 1991,30.0, Female, B3,English,"
 Australia","2010 for Australia, World Championships in Sheffield, Great Britain (paralympic.org.au, 31 Aug 2016)","To win a medal at the 2020 Paralympic Games in Tokyo. (packaworld.com, 11 May 2021)",,"Her parents. (The Creating Chances Podcast, 12 May 2021)","""Never give up."" (sydney.edu.au, 10 Aug 2012)","In November 2011 she won the New South Wales Institute of Sport [NSWIS] Academic Excellence Award. (sydney.edu.au, 25 Nov 2011)",
458,UZB,BOBOEV Shukhrat,../../../en/results/judo/athlete-profile-n1694106-boboev-shukhrat.htm,JUD, 3 Dec 1985,35.0, Male, B3,"Russian, Uzbek","
 Uzbekistan",,,"His father. (Athlete, 01 Apr 2016)","His father. (Athlete, 01 Apr 2016)","""Victory."" (Athlete, 01 Apr 2016)",,
459,ITA,BOCCIARDO Francesco,../../../en/results/swimming/athlete-profile-n1683357-bocciardo-francesco.htm,SWM, 18 Mar 1994,27.0, Male," SB4,S5","English, Italian","
 Italy","2011 for Italy (Athlete, 09 Sep 2019)","To win three gold medals at the 2020 Paralympic Games in Tokyo. (ilsecoloxix.it, 07 Dec 2020)","Italian swimmer Gregorio Paltrinieri and Italian Para swimmer Vincenzo Boni. (Athlete, 09 Sep 2019)","Italian swimmer Francesco Bettella. (Athlete, 09 Sep 2019)","""Passion, in my opinion, is the stimulus that drives us to grind out the kilometres in the early mornings, not even knowing for what reason. But passion alone is not enough. It takes dedication, perseverance, and above all sacrifice. I also believe consistency is fundamental. If I had not been consistent, I would never have been able to achieve my goals. I have met many very talented guys who did not have the mentality and who have not been able to withstand the stress that constant training requires."" (associazionemicrolab.it, 13 Dec 2019)","In 2019 he received a Golden Collar for outstanding results and ethics in sport, presented by the Italian National Olympic Committee and the Italian Paralympic Committee. (Instagram profile, 25 Dec 2019)","He injured his left shoulder ahead of the 2012 Paralympic Games in London. He was still able to compete at the Games. (montallegro.it, 14 Mar 2018)"
460,GER,BOEHME Thomas,../../../en/results/wheelchair-basketball/athlete-profile-n1350981-boehme-thomas.htm,WBK, 24 Jun 1991,30.0, Male, 3.0,"English, French, German","
 Germany","2009 for Germany, European Championships in Adana, Turkey (Athlete, 22 Aug 2021)","To win a medal at the 2020 Paralympic Games in Tokyo. (paralympic.org, 10 May 2017)","US basketball player Kobe Bryant. (Athlete, 22 Aug 2021)",,,"He was named in the All Star team at the 2015 European Championships in Worcester, England. (paralympic.org, 2015)",
461,SUI,BOESCH Beat,../../../en/results/athletics/athlete-profile-n1521521-boesch-beat.htm,ATH, 27 Nov 1971,49.0, Male, T52,German,"
 Switzerland","1998 for Switzerland, World Championships in Birmingham, Great Britain (Athlete, 02 Dec 2010)","To compete at the 2020 Paralympic Games in Tokyo. (beatboesch.ch, 13 Mar 2020)",,,"""Use your opportunities."" (luzern.panathlon.ch, 10 Feb 2015)","He was flag bearer for Switzerland at the opening ceremony of the 2018 European Championships in Berlin, Germany. (IPC, 20 Aug 2018)","He had shoulder surgery in August 2016. (beatboesch.ch, 15 Aug 2018)"
462,GER,BOETTCHER Gina,../../../en/results/swimming/athlete-profile-n1366447-boettcher-gina.htm,SWM, 11 Apr 2001,20.0, Female," SM4,S4,SB3","English, German","
 Germany",,"To compete at the 2020 Paralympic Games in Tokyo. (maz-online.de, 21 Aug 2018)","German footballer Julian Brandt. (Athlete, 15 Aug 2018)","Her parents. (Athlete, 12 Sep 2019)",,,
463,GER,BOETTGER Marcel,../../../en/results/athletics/athlete-profile-n1406636-boettger-marcel.htm,ATH, 6 May 1993,28.0, Male, T12,German,"
 Germany",,"To compete at the 2020 Paralympic Games in Tokyo. (ikz-online.de, 18 Jul 2019)",,,,,
464,RPC,BOGACHEVA Mariia,../../../en/results/athletics/athlete-profile-n1353667-bogacheva-mariia.htm,ATH, 26 Apr 1977,44.0, Female, F54,"English, German, Russian","
 Russian Federation","2013 for Russia, Grand Prix in Grosseto, Italy (Athlete, 04 Oct 2015)","To win gold at the Paralympic Games. (novgaz-rzn.ru, 22 Oct 2020; Athlete, 23 Oct 2019)","Russian Para javelin thrower Aleksei Kuznetsov. (Athlete, 04 Oct 2015)","Her father. (Athlete, 04 Oct 2015)","""Create yourself, find time and not an excuse."" (rzn.rodgor.ru, 10 Feb 2010)","In 2019 she was named among the Best Para Athletes of the Year in the Ryazan region of the Russian Federation. (mediaryazan.ru, 11 Dec 2019)",
465,CAN,BOGART Whitney,../../../en/results/goalball/athlete-profile-n1525795-bogart-whitney.htm,GBL, 21 Apr 1986,35.0, Female, B3,English,"
 Canada",,"To compete at the 2020 Paralympic Games in Tokyo. (Twitter profile, 21 Jan 2020)",,,"""Good, better, best. Never let it rest until your good is better and your better is best."" (Athlete, 01 Apr 2016)",,
466,BLR,BOGDANOVA Elena,../../../en/results/judo/athlete-profile-n1345722-bogdanova-elena.htm,JUD, 6 Dec 1972,48.0, Female, B1,"English, Italian, Russian","
 Russian Federation","2012 for Russia, International Tournament in Germany (Athlete, 01 Apr 2016)","To win a medal at the Paralympic Games. (Athlete, 01 Apr 2016)",,,"""Let it be."" (Athlete, 01 Apr 2016)","She has received the title of Candidate for Master of Sport in Belarus. (paradefsport.by, 27 Dec 2019)",
467,ITA,BOGGIONI Monica,../../../en/results/swimming/athlete-profile-n1683894-boggioni-monica.htm,SWM, 5 Aug 1998,23.0, Female," SB4,S5,SM5","English, Italian","
 Italy","2017 for Italy, World Championships in Mexico City, Mexico (Athlete, 09 Sep 2019)","To compete at the 2020 Paralympic Games in Tokyo. (aics.it, 12 May 2020)","Italian swimmer Gregorio Paltrinieri. (Athlete, 09 Sep 2019)","Her family, her coach and her friends. (Athlete, 03 Dec 2017)","""Disability simply means being differently able. So I am not disabled or incapable, I am able in a different way. Greatness and beauty lies in making the most of your skills."" (Giorgio Di Misa YouTube channel, 20 Oct 2019)",,
468,FRA,BOHEAS Mateo,../../../en/results/table-tennis/athlete-profile-n1358008-boheas-mateo.htm,TTE, 9 Oct 1996,24.0, Male, 10,French,"
 France","2012 for France, in Nantes, France (Athlete, 27 Jul 2016)","To win a medal at the 2020 Paralympic Games in Tokyo, and a gold medal at the 2024 Games in Paris. (fondationbanquepopulaire.fr, 01 Dec 2020; vivrefm.com, 06 Nov 2020)","South African politician Nelson Mandela. (Athlete, 27 Jul 2016)",,"""What does not kill you, makes you stronger."" (Athlete, 27 Jul 2016)",,
469,UKR,BOHODAIKO Yevhenii,../../../en/results/swimming/athlete-profile-n1345715-bohodaiko-yevhenii.htm,SWM, 27 Apr 1994,27.0, Male," S7,SB6,SM7","Russian, Ukrainian","
 Ukraine","2009 for Ukraine, European Championships in Reykjavik, Iceland (Athlete, 13 Aug 2018)","To win gold at the 2020 Paralympic Games in Tokyo. (Athlete, 05 Mar 2020)","Russian Para swimmer Andrei Kalina. (sport.pl.ua, 30 Nov 2016)","His coach. (Athlete, 13 Aug 2018)","""Always forward."" (Athlete, 13 Aug 2018)","He received the Order for Services of Ukraine in recognition of his performance at the 2016 Paralympic Games in Rio de Janeiro. (president.gov.ua, 04 Oct 2016)","In early 2012 he broke his left arm. Later the same year he tore his Achilles tendon. (fakty.ua, 19 Sep 2012)"
470,UKR,BOHUSLAVSKA Svitlana,../../../en/results/rowing/athlete-profile-n1314168-bohuslavska-svitlana.htm,ROW, 22 Mar 1988,33.0, Female, PR2,"Russian, Ukrainian","
 Ukraine",,,"Ukrainian Para rower Alla Lysenko. (Athlete, 23 Aug 2021)","Her parents. (Athlete, 23 Aug 2021)",,"She has received the title of Master of Sport in Ukraine. (dsmsu.gov.ua, 28 Dec 2019)",
471,USA,BOIE John,../../../en/results/wheelchair-basketball/athlete-profile-n1691738-boie-john.htm,WBK, 11 Feb 1991,30.0, Male, 1.0,English,"
 United States of America","2017 for United States (teamusa.org, 26 Aug 2019)","To win a gold medal at the 2020 Paralympic Games in Tokyo. (Instagram profile, 22 Feb 2020; tmj4.com, 16 Apr 2021)",,,,,"He suffered from a chronic shoulder injury throughout 2020 before eventually undergoing surgery once the 2020 Paralympic Games in Tokyo were postponed. (tmj4.com, 16 Apr 2021)"
472,BLR,BOKI Ihar,../../../en/results/swimming/athlete-profile-n1336276-boki-ihar.htm,SWM, 28 Jun 1994,27.0, Male," S13,SB13,SM13",Russian,"
 Belarus","2010 for Belarus (Athlete, 05 Dec 2017)","To compete at the 2020 Paralympic Games in Tokyo. (Athlete, 31 Jul 2019)",,"His father. (Athlete, 05 Dec 2017)","""To achieve the result, you should believe in yourself."" (Athlete, 05 Dec 2017)","He was nominated for the Sportsperson of the Year with a Disability award at the 2017 Laureus World Sports Awards. (laureus.com, 21 Oct 2017)",
473,ROU,BOLOGA Alex,../../../en/results/judo/athlete-profile-n1328476-bologa-alex.htm,JUD, 7 Nov 1995,25.0, Male, B1,"Italian, Romanian","
 Romania","2013 for Romania, International Tournament in Eger, Hungary (Athlete, 01 Apr 2016)","To win a medal at the 2020 Paralympic Games in Tokyo, and to compete at the 2024 and 2028 Paralympic Games. (paralympic.org, 19 Jun 2021)","Brazilian judoka Antonio Tenorio da Silva. (Athlete, 01 Apr 2016)","His coach Andreica Gianina. (Athlete, 01 Apr 2016)","""My life begins in the dojo."" (Athlete, 01 Apr 2016)",,
474,CAN,BOLTON Charlotte,../../../en/results/athletics/athlete-profile-n1521844-bolton-charlotte.htm,ATH, 27 Jun 2003,18.0, Female, F41,English,,,,,,"""You're never too old, and you're never too young to have big dreams."" (paralympic.ca, 30 Jul 2021)","She was named 2019 Para Athlete of the Year by Athletics Ontario in Canada. (Woodstock Legion Athletic Club Facebook page, 20 Oct 2019)",
475,ITA,BONACINA Matteo,../../../en/results/archery/athlete-profile-n1543463-bonacina-matteo.htm,ARC, 3 Aug 1984,37.0, Male, W2,Italian,"
 Italy","2013 (Athlete, 18 Aug 2015)",,"Italian footballer Alessandro Del Piero. (Athlete, 18 Aug 2015)",,"""Sport has helped me a lot because, for me, physical activity is essential. I only use my arms and sport helps me achieve an autonomy and control that I would not otherwise have. There was a danger that I could have just sat on the couch all day. Instead, this way, I can integrate and have a normal and dignified life."" (primabergamo.it, 20 Sep 2018)",,
476,AUS,BOND Chris,../../../en/results/wheelchair-rugby/athlete-profile-n1425581-bond-chris.htm,WRU, 28 May 1986,35.0, Male, 3.5,English,"
 Australia",,,,"His parents. (paralympic.org.au, 01 Aug 2014)","""People will stare. Make it worth their while."" [Harry Winston] (paralympic.org.au, 07 Jun 2019)","He was named the 2016 Senior Male Athlete of the Year by the Sporting Wheelies and Disabled Association in Australia. He shared the award with wheelchair rugby player Ryan Scott. (sportingwheelies.org.au, 2016)",
477,UKR,BONDARENKO Roman,../../../en/results/swimming/athlete-profile-n1379466-bondarenko-roman.htm,SWM, 18 Apr 1984,37.0, Male, S2,"Russian, Ukrainian","
 Ukraine",,,,,"""I simply believe. I believe in myself, I believe in the goal. I believe that restrictions are only in the mind. Who said that it will not happen? It is necessary to try, again and again, every day."" (mail.com.ua, 17 Sep 2017)","He received the 2014 Overcoming Award in Kharkiv, Ukraine. (visit.kharkov.ua, 04 Dec 2014)",
478,ITA,BONI Vincenzo,../../../en/results/swimming/athlete-profile-n1684301-boni-vincenzo.htm,SWM, 1 Mar 1988,33.0, Male, S3,"English, French, Italian","
 Italy","2015 for Italy (Athlete, 09 Sep 2019)","To win a medal at 2020 Paralympic Games in Tokyo. (nuoto.com, 08 Feb 2020)","Italian Para swimmers Carlotta Gilli and Francesco Bettella. (Athlete, 09 Sep 2019)","Coach Alessio Sigillo and his family. (Athlete, 09 Sep 2019)","""Take on each training session as if it were a race - with the same concentration, the same determination, and get out of the water exhausted, just like in a competition. Only this way can you build the foundations to achieve your goals."" (Instagram profile, 01 Apr 2019)","In 2019 he was the Italian flag bearer during the opening ceremony of the world championships in London, England. (nuoto.com, 08 Feb 2020)",
479,THA,BOONTIANG Terdkiat,../../../en/results/football-5-a-side/athlete-profile-n1718915-boontiang-terdkiat.htm,FB5, 30 Oct 1989,31.0, Male, B1,,,,,,,,,
480,AUS,BOOTH Emma,../../../en/results/equestrian/athlete-profile-n1416022-booth-emma.htm,EQU, 8 Jun 1991,30.0, Female, GIII,English,,,"To compete at the 2020 Paralympic Games in Tokyo. (equestrian.org.au, 22 Nov 2017)","Australian equestrian riders Andrew Hoy, Stuart Tinney, Heath Ryan, Megan Jones and Grace Bowman. (paralympic.org, 01 Sep 2016; paralympic.org.au, 18 Sep 2016)",,"""Work hard, practice as often as you can afford and set goals big and small so you're always achieving something."" (paralympic.org, 01 Sep 2016)","In 2017 she received the Against All Odds Award from the International Equestrian Federation [FEI] Awards Gala in Montevideo, Uruguay. (weeklytimesnow.com.au, 27 Dec 2017; equestrian.org.au, 22 Nov 2017)",
481,THA,BOOTWANSIRINA Chilchitparyak,../../../en/results/table-tennis/athlete-profile-n1728082-bootwansirina-chilchitparyak.htm,TTE, 2 Dec 1975,45.0, Female, 2,"English, Thai","
 Thailand","2010 for Thailand, in Amman, Jordan (Athlete, 06 Sep 2015)",,,"Her family. (Athlete, 06 Sep 2015)","""Make today the best."" (Athlete, 06 Sep 2015)",,
482,BRA,BORDIGNON Fabio,../../../en/results/athletics/athlete-profile-n1361166-bordignon-fabio.htm,ATH, 20 Jun 1992,29.0, Male, T35,"Portuguese, Spanish","
 Brazil",,,"Brazilian Para sprinters Petrucio Ferreira Dos Santos and Yohansson Nascimento, Portuguese footballer Cristiano Ronaldo. (Athlete, 18 Jul 2017)","His son Adrian Gabriel. (Athlete, 18 Jul 2017)","""Sport is a social integrator. It helps reveal the strength of impaired people."" (Athlete, 18 Jul 2017)",,"He has sustained an injury to his pelvis during his career. (Facebook page, 17 Nov 2019)"
483,MLT,BORG Thomas,../../../en/results/athletics/athlete-profile-n1715835-borg-thomas.htm,ATH, 28 Oct 2001,19.0, Male, T47,"English, German, Maltese","
 Malta",,"To compete at multiple Paralympic Games, and to win a Paralympic medal by the 2028 Games in Los Angeles. (Athlete, 20 Aug 2021)","Jamaican sprinter Usain Bolt, Portuguese footballer Cristiano Ronaldo, Australian tennis player Nick Kyrgios, Swiss tennis player Roger Federer, US boxer Muhammad Ali. (Athlete, 20 Aug 2021, 12 Sep 2019)","His mother. (Athlete, 12 Sep 2019)","""I always felt that my greatest asset is not my physical ability, it is my mental ability."" (guidememalta.com, 14 Sep 2018)",,"He developed bursitis and tendinitis in both of his shoulders during the 2019/20 Para swimming season. In 2020 he switched to competing in Para athletics due to his shoulder injuries. (Athlete, 20 Aug 2021; Facebook page, 01 Jan 2021)"
